id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,hashtags,query,media,user_mention,url,lat,lng,in_reply_to_screen_name,in_reply_to_status_id
404519535384199168,https://twitter.com/dkmj/status/404519535384199168,2013-11-24 07:59:07+00:00,#djinorden13 de som frågade  efter Ingelstams bok System igår - DM så förmedlar jag länk. Energimynd. beställningsida är trasig för mig,sv,0,dkmj,djinorden13,#djinorden13,,,,,,,
404498267410825216,https://twitter.com/LindKatarina/status/404498267410825216,2013-11-24 06:34:36+00:00,RT @EsaMakinen: When Freedom of information acts have come to different countries?   #djinorden13 http://t.co/ke3AqmFV0N,en,22,LindKatarina,djinorden13,#djinorden13,https://pbs.twimg.com/media/BZrZN4cIcAAeBu3.jpg,EsaMakinen,,,,,
404495169359474688,https://twitter.com/LindKatarina/status/404495169359474688,2013-11-24 06:22:18+00:00,RT @Tobias_Brandel: Trendspaning 2 från #djinorden13 - kartläggning av hundraser och hundnamn är standarddatabasjobb i hela världen.,sv,1,LindKatarina,djinorden13,#djinorden13,,Tobias_Brandel,,,,,
404470548782002176,https://twitter.com/odaludygi/status/404470548782002176,2013-11-24 04:44:28+00:00,Netflix offers web controls that will #djinorden13 work across devices to http://t.co/ovEK2L21gO #madagascar2,en,0,odaludygi,djinorden13,#djinorden13,,,http://goo.gl/fb/kSXAu,,,,
404470504880627712,https://twitter.com/igygomen/status/404470504880627712,2013-11-24 04:44:17+00:00,"LONDON - Thousands #djinorden13 of ""Doctor Who"" fans from across the world http://t.co/08J6MYjm6f #zayna",en,0,igygomen,djinorden13,#djinorden13,,,http://goo.gl/fb/MH2VQ,,,,
404409269132337152,https://twitter.com/kuwamuba/status/404409269132337152,2013-11-24 00:40:57+00:00,An anal fissure is a small #analfissures tear in the lining of the anus. http://t.co/yu2GwIApWF #djinorden13,en,0,kuwamuba,analfissures,#djinorden13,,,http://goo.gl/fb/xkaYT,,,,
404388906332090369,https://twitter.com/ytreberg/status/404388906332090369,2013-11-23 23:20:03+00:00,RT @henchman: Det ble pris på #smplab i Stockholm i dag. #storytelling #djinorden13 http://t.co/w8OJIn4bOq,da,4,ytreberg,smplab,#djinorden13,https://pbs.twimg.com/media/BZtSknkCIAAS5S5.jpg,henchman,,,,,
404387601626726401,https://twitter.com/lambrechts/status/404387601626726401,2013-11-23 23:14:52+00:00,RT @henchman: Det ble pris på #smplab i Stockholm i dag. #storytelling #djinorden13 http://t.co/w8OJIn4bOq,da,4,lambrechts,smplab,#djinorden13,https://pbs.twimg.com/media/BZtSknkCIAAS5S5.jpg,henchman,,,,,
404387177024737280,https://twitter.com/lambrechts/status/404387177024737280,2013-11-23 23:13:10+00:00,"RT @sisiwei: .@LivHaker says when she started in #ddj, she needed guts and patience. #djinorden13 http://t.co/75MuViwEwA",en,5,lambrechts,ddj,#djinorden13,https://pbs.twimg.com/media/BZvx4j5IUAAwFko.jpg,sisiwei,,,,,
404379610508324864,https://twitter.com/trendinaliaSE/status/404379610508324864,2013-11-23 22:43:06+00:00,The hashtag #djinorden13 took the 20th place in the Top20 of Sweden's Trends for Friday 22: http://t.co/Gkp5jvgl0i #trndnl,en,0,trendinaliaSE,djinorden13,#djinorden13,,,http://www.trendinalia.com/twitter-trending-topics/sweden/sweden-131122.html,62.1984,17.5514,,
404373481929711616,https://twitter.com/jpheasly/status/404373481929711616,2013-11-23 22:18:45+00:00,RT @andersgreen: Sticker = true. :-)=   #djinorden13 #djinorden2013 http://t.co/WcNSN1vFrl,fr,1,jpheasly,djinorden13,#djinorden13,https://pbs.twimg.com/media/BZwIEVvIcAAO5Is.jpg,andersgreen,,,,,
404364018015817728,https://twitter.com/NUASkom/status/404364018015817728,2013-11-23 21:41:09+00:00,RT @fiwa: Typeform - fornuftig ny platform til spørgeskemaer: http://t.co/AGQPQc2HaN #djinorden13,da,0,NUASkom,djinorden13,#djinorden13,,fiwa,http://www.typeform.com,,,,
404363884792143872,https://twitter.com/bavnhoej/status/404363884792143872,2013-11-23 21:40:37+00:00,RT @fiwa: Typeform - fornuftig ny platform til spørgeskemaer: http://t.co/E07gfZcn6d #djinorden13,da,2,bavnhoej,djinorden13,#djinorden13,,fiwa,http://www.typeform.com,,,,
404359338468597760,https://twitter.com/arto_sarkka/status/404359338468597760,2013-11-23 21:22:33+00:00,"RT @tuomaspeltomaki: Voitin juuri pohjoismaisen datajournalismipalkinnon, oi onnea! #djinorden13",fi,5,arto_sarkka,djinorden13,#djinorden13,,tuomaspeltomaki,,,,,
404354749983903744,https://twitter.com/HiHuddinge/status/404354749983903744,2013-11-23 21:04:19+00:00,RT @EsaMakinen: #djinorden13 nears end. Some very interesting people met. Got some great new ideas. Thank you Södertorn and Ester Appelgren!,en,6,HiHuddinge,djinorden13,#djinorden13,,EsaMakinen,,,,,
404330040865079297,https://twitter.com/sodertorn/status/404330040865079297,2013-11-23 19:26:08+00:00,RT @EsaMakinen: #djinorden13 nears end. Some very interesting people met. Got some great new ideas. Thank you Södertorn and Ester Appelgren!,en,6,sodertorn,djinorden13,#djinorden13,,EsaMakinen,,,,,
404329686924533761,https://twitter.com/sodertorn/status/404329686924533761,2013-11-23 19:24:44+00:00,"RT @dkmj: Thanks to Ester, Gunnar et al for running a very successful #djinorden13. Proud to be a sponsor of project http://t.co/bq9ioZP1w3",en,1,sodertorn,djinorden13,#djinorden13,https://pbs.twimg.com/media/BZwzELgCcAEmvs9.jpg,dkmj,,,,,
404324696638111744,https://twitter.com/blomlis/status/404324696638111744,2013-11-23 19:04:54+00:00,#djinorden13 Tack för en inspirerande och mycket proffsigt ordnad konferens. #datajournalistik. Nu kliar det i tableau-fingrarna.,sv,0,blomlis,djinorden13,#djinorden13,,,,,,,
404319460468998145,https://twitter.com/MariaTragardh/status/404319460468998145,2013-11-23 18:44:05+00:00,"RT @KristoferSjhlm: Tack Ester, Gunnar, Helge, Anders och Tommy för en mycket lyckad #datajournalistik konferens #djinorden13",sv,3,MariaTragardh,datajournalistik,#djinorden13,,KristoferSjhlm,,,,,
404315168123142144,https://twitter.com/MrTMoller/status/404315168123142144,2013-11-23 18:27:02+00:00,"Hemma efter en givande konferens i datajournalistik. Heder till arrangörerna.
#djinorden13",da,0,MrTMoller,djinorden13,#djinorden13,,,,58.60773047,16.14221359,,
